Fecha,Muertes
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,3
62,6
63,6
64,8
65,8
66,9
67,14
68,17
69,24
70,30
71,30
72,32
73,37
74,41
75,46
76,54
77,55
78,59
79,63
80,66
81,74
82,79
83,87
84,94
85,95
86,103
87,109
88,116
89,120
90,126
91,136
92,141
93,146
94,154
95,159
96,165
97,167
98,167
99,178
100,188
101,192
102,197
103,197
104,200
105,210
106,218
107,225
108,231
109,237
110,244
111,249
112,252
113,256
114,260
115,266
116,269
117,275
118,279
119,281
120,287
121,291
122,295
123,299
124,306
125,310
126,313
127,315
128,320
129,326
130,330
131,336
132,344
133,352
134,357
135,363
136,370
137,386
138,393
139,398
140,403
141,413
142,418
143,421
144,429
145,437
146,448
147,457
148,470
149,475
150,485
151,493
152,501
153,521
154,536
155,547
156,564
157,575
158,592
159,604
160,620
161,631
162,645
163,667
164,698
165,720
166,747
167,770
168,799
169,819
170,839
171,863
172,893
173,909
174,932
175,960
176,982
177,1000
178,1038
179,1071
180,1096
181,1127
182,1159
183,1180
184,1209
185,1250
186,1275
187,1294
188,1322
189,1349
190,1374
191,1397
192,1421
193,1449
194,1471
195,1497
196,1522
197,1553
198,1574


