Muertes;Fecha;
0;01/22/2020;
0;01/23/2020;
0;01/24/2020;
0;01/25/2020;
0;01/26/2020;
0;01/27/2020;
0;01/28/2020;
0;01/29/2020;
0;01/30/2020;
0;01/31/2020;
0;02/01/2020;
0;02/02/2020;
0;02/03/2020;
0;02/04/2020;
0;02/05/2020;
0;02/06/2020;
0;02/07/2020;
0;02/08/2020;
0;02/09/2020;
0;02/10/2020;
0;02/11/2020;
0;02/12/2020;
0;02/13/2020;
0;02/14/2020;
0;02/15/2020;
0;02/16/2020;
0;02/17/2020;
0;02/18/2020;
0;02/19/2020;
0;02/20/2020;
0;02/21/2020;
0;02/22/2020;
0;02/23/2020;
0;02/24/2020;
0;02/25/2020;
0;02/26/2020;
0;02/27/2020;
0;02/28/2020;
0;02/29/2020;
0;03/01/2020;
0;03/02/2020;
0;03/03/2020;
0;03/04/2020;
0;03/05/2020;
0;03/06/2020;
0;03/07/2020;
0;03/08/2020;
0;03/09/2020;
0;03/10/2020;
1;03/11/2020;
1;03/12/2020;
1;03/13/2020;
1;03/14/2020;
1;03/15/2020;
1;03/16/2020;
1;03/17/2020;
1;03/18/2020;
1;03/19/2020;
1;03/20/2020;
1;03/21/2020;
3;03/22/2020;
6;03/23/2020;
6;03/24/2020;
8;03/25/2020;
8;03/26/2020;
9;03/27/2020;
14;03/28/2020;
17;03/29/2020;
24;03/30/2020;
30;03/31/2020;
30;04/01/2020;
32;04/02/2020;
37;04/03/2020;
41;04/04/2020;
46;04/05/2020;
54;04/06/2020;
55;04/07/2020;
59;04/08/2020;
63;04/09/2020;
66;04/10/2020;
74;04/11/2020;
79;04/12/2020;
87;04/13/2020;
94;04/14/2020;
95;04/15/2020;
103;04/16/2020;
109;04/17/2020;
116;04/18/2020;
120;04/19/2020;
126;04/20/2020;
136;04/21/2020;
141;04/22/2020;
146;04/23/2020;
154;04/24/2020;
159;04/25/2020;
165;04/26/2020;
167;04/27/2020;
167;04/28/2020;
178;04/29/2020;
188;04/30/2020;
192;05/01/2020;
197;05/02/2020;
197;05/03/2020;
200;05/04/2020;
210;05/05/2020;
218;05/06/2020;
225;05/07/2020;
231;05/08/2020;
237;05/09/2020;
244;05/10/2020;
249;05/11/2020;
252;05/12/2020;
256;05/13/2020;
260;05/14/2020;
266;05/15/2020;
269;05/16/2020;
275;05/17/2020;
279;05/18/2020;
281;05/19/2020;
287;05/20/2020;
291;05/21/2020;
295;05/22/2020;
299;05/23/2020;
306;05/24/2020;
310;05/25/2020;
313;05/26/2020;
315;05/27/2020;
320;05/28/2020;
326;05/29/2020;
330;05/30/2020;
336;05/31/2020;
344;06/01/2020;
352;06/02/2020;
357;06/03/2020;
363;06/04/2020;
370;06/05/2020;
386;06/06/2020;
393;06/07/2020;
398;06/08/2020;
403;06/09/2020;
413;06/10/2020;
418;06/11/2020;
421;06/12/2020;
429;06/13/2020;
437;06/14/2020;
448;06/15/2020;
457;06/16/2020;
470;06/17/2020;
475;06/18/2020;
485;06/19/2020;
493;06/20/2020;
501;06/21/2020;
521;06/22/2020;
536;06/23/2020;
547;06/24/2020;
564;06/25/2020;
575;06/26/2020;
592;06/27/2020;
604;06/28/2020;
620;06/29/2020;
631;06/30/2020;
645;07/01/2020;
667;07/02/2020;
698;07/03/2020;
720;07/04/2020;
747;07/05/2020;
770;07/06/2020;
799;07/07/2020;
819;07/08/2020;
839;07/09/2020;
863;07/10/2020;
893;07/11/2020;
909;07/12/2020;
932;07/13/2020;
960;07/14/2020;
982;07/15/2020;
1000;07/16/2020;
1038;07/17/2020;
1071;07/18/2020;
1096;07/19/2020;
1127;07/20/2020;
1159;07/21/2020;
1180;07/22/2020;
1209;07/23/2020;
1250;07/24/2020;
1275;07/25/2020;
1294;07/26/2020;
1322;07/27/2020;
1349;07/28/2020;
1374;07/29/2020;
1397;07/30/2020;
1421;07/31/2020;
1449;08/01/2020;
1471;08/02/2020;
1497;08/03/2020;
1522;08/04/2020;
1553;08/05/2020;
1574;08/06/2020;
