Muertes,Fecha
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,3
62,6
63,6
64,8
65,8
66,9
67,14
68,17
69,24
70,30
71,30
72,32
73,37
74,41
75,46
76,54
77,55
78,59
79,63
80,66
81,74
82,79
83,87
84,94
85,95
86,103
87,109
88,116
89,120
90,126
91,136
92,141
93,146
94,154
95,159
96,165
97,167
98,167
99,178
100,188
101,192
102,197
103,197
104,200
105,210
106,218
107,225
108,231
109,237
110,244
111,249
112,252
113,256
114,260
115,266
116,269
117,275
118,279
119,281
120,287
121,291
122,295
123,299
124,306
125,310
126,313
127,315
128,320
129,326
130,330
131,336
132,344
133,352
134,357
135,363
136,370
137,386
138,393
139,398
140,403
141,413
142,418
143,421
144,429
145,437
146,448
147,457
148,470
149,475
150,485
151,493
152,501
153,521
154,536
155,547
156,564
157,575
158,592
159,604
160,620
161,631
162,645
163,667
164,698
165,720
166,747
167,770
168,799
169,819
170,839
171,863
172,893
173,909
174,932
175,960
176,982
1,771,000
1,781,038
1,791,071
1,801,096
1,811,127
1,821,159
1,831,180
1,841,209
1,851,250
1,861,275
1,871,294
1,881,322
1,891,349
1,901,374
1,911,397
1,921,421
1,931,449
1,941,471
1,951,497
1,961,522
1,971,553
1,981,574
